"GEOID","NAME","Population"
"17031825803","Census Tract 8258.03, Cook County, Illinois",6238
"17031826303","Census Tract 8263.03, Cook County, Illinois",4291
"17031827300","Census Tract 8273, Cook County, Illinois",2549
"17031828503","Census Tract 8285.03, Cook County, Illinois",4152
"17031640400","Census Tract 6404, Cook County, Illinois",3559
"17031660400","Census Tract 6604, Cook County, Illinois",5804
"17031660800","Census Tract 6608, Cook County, Illinois",4867
"17031671300","Census Tract 6713, Cook County, Illinois",2012
"17031825302","Census Tract 8253.02, Cook County, Illinois",6585
"17031826500","Census Tract 8265, Cook County, Illinois",6031
"17031826700","Census Tract 8267, Cook County, Illinois",5113
"17031827100","Census Tract 8271, Cook County, Illinois",2452
"17031828000","Census Tract 8280, Cook County, Illinois",4947
"17031828202","Census Tract 8282.02, Cook County, Illinois",4512
"17031829302","Census Tract 8293.02, Cook County, Illinois",3871
"17031804406","Census Tract 8044.06, Cook County, Illinois",6646
"17031804506","Census Tract 8045.06, Cook County, Illinois",5133
"17031804507","Census Tract 8045.07, Cook County, Illinois",11526
"17031804508","Census Tract 8045.08, Cook County, Illinois",2399
"17031804509","Census Tract 8045.09, Cook County, Illinois",6201
"17031804510","Census Tract 8045.10, Cook County, Illinois",6287
"17031804511","Census Tract 8045.11, Cook County, Illinois",2483
"17031804608","Census Tract 8046.08, Cook County, Illinois",3429
"17031804609","Census Tract 8046.09, Cook County, Illinois",5695
"17031804610","Census Tract 8046.10, Cook County, Illinois",2305
"17031804611","Census Tract 8046.11, Cook County, Illinois",4418
"17031804713","Census Tract 8047.13, Cook County, Illinois",5873
"17031804714","Census Tract 8047.14, Cook County, Illinois",3169
"17031804715","Census Tract 8047.15, Cook County, Illinois",3178
"17031804716","Census Tract 8047.16, Cook County, Illinois",4675
"17031806103","Census Tract 8061.03, Cook County, Illinois",4849
"17031806104","Census Tract 8061.04, Cook County, Illinois",4202
"17031806201","Census Tract 8062.01, Cook County, Illinois",4845
"17031806202","Census Tract 8062.02, Cook County, Illinois",4838
"17031812301","Census Tract 8123.01, Cook County, Illinois",4153
"17031812302","Census Tract 8123.02, Cook County, Illinois",2790
"17031812801","Census Tract 8128.01, Cook County, Illinois",3367
"17031812802","Census Tract 8128.02, Cook County, Illinois",2538
"17031813301","Census Tract 8133.01, Cook County, Illinois",3229
"17031813302","Census Tract 8133.02, Cook County, Illinois",3057
"17031813701","Census Tract 8137.01, Cook County, Illinois",3710
"17031813702","Census Tract 8137.02, Cook County, Illinois",3900
"17031813801","Census Tract 8138.01, Cook County, Illinois",2717
"17031813802","Census Tract 8138.02, Cook County, Illinois",4973
"17031820603","Census Tract 8206.03, Cook County, Illinois",5880
"17031820604","Census Tract 8206.04, Cook County, Illinois",3933
"17031820605","Census Tract 8206.05, Cook County, Illinois",4625
"17031820606","Census Tract 8206.06, Cook County, Illinois",3846
"17031823805","Census Tract 8238.05, Cook County, Illinois",2916
"17031823806","Census Tract 8238.06, Cook County, Illinois",3766
"17031824003","Census Tract 8240.03, Cook County, Illinois",6124
"17031824004","Census Tract 8240.04, Cook County, Illinois",5462
"17031832600","Census Tract 8326, Cook County, Illinois",3918
"17031020302","Census Tract 203.02, Cook County, Illinois",5137
"17031020602","Census Tract 206.02, Cook County, Illinois",4765
"17031020701","Census Tract 207.01, Cook County, Illinois",1844
"17031020301","Census Tract 203.01, Cook County, Illinois",5384
"17031020601","Census Tract 206.01, Cook County, Illinois",6525
"17031020702","Census Tract 207.02, Cook County, Illinois",8226
"17031020801","Census Tract 208.01, Cook County, Illinois",6175
"17031020802","Census Tract 208.02, Cook County, Illinois",7916
"17031020901","Census Tract 209.01, Cook County, Illinois",6155
"17031020902","Census Tract 209.02, Cook County, Illinois",4848
"17031815400","Census Tract 8154, Cook County, Illinois",5124
"17031816600","Census Tract 8166, Cook County, Illinois",4704
"17031817101","Census Tract 8171.01, Cook County, Illinois",4757
"17031817200","Census Tract 8172, Cook County, Illinois",4275
"17031817400","Census Tract 8174, Cook County, Illinois",4052
"17031819900","Census Tract 8199, Cook County, Illinois",3298
"17031820501","Census Tract 8205.01, Cook County, Illinois",5875
"17031822400","Census Tract 8224, Cook County, Illinois",5949
"17031822802","Census Tract 8228.02, Cook County, Illinois",3488
"17031823303","Census Tract 8233.03, Cook County, Illinois",4495
"17031823604","Census Tract 8236.04, Cook County, Illinois",3676
"17031420500","Census Tract 4205, Cook County, Illinois",1735
"17031430400","Census Tract 4304, Cook County, Illinois",2765
"17031430600","Census Tract 4306, Cook County, Illinois",2168
"17031440900","Census Tract 4409, Cook County, Illinois",2333
"17031460100","Census Tract 4601, Cook County, Illinois",3523
"17031480500","Census Tract 4805, Cook County, Illinois",2939
"17031283100","Census Tract 2831, Cook County, Illinois",3194
"17031300700","Census Tract 3007, Cook County, Illinois",4841
"17031300800","Census Tract 3008, Cook County, Illinois",3960
"17031340600","Census Tract 3406, Cook County, Illinois",981
"17031340300","Census Tract 3403, Cook County, Illinois",1875
"17031351000","Census Tract 3510, Cook County, Illinois",3269
"17031814300","Census Tract 8143, Cook County, Illinois",5065
"17031815900","Census Tract 8159, Cook County, Illinois",4930
"17031808702","Census Tract 8087.02, Cook County, Illinois",5225
"17031660600","Census Tract 6606, Cook County, Illinois",5626
"17031670100","Census Tract 6701, Cook County, Illinois",1001
"17031670800","Census Tract 6708, Cook County, Illinois",1015
"17031671100","Census Tract 6711, Cook County, Illinois",754
"17031671200","Census Tract 6712, Cook County, Illinois",1019
"17031671400","Census Tract 6714, Cook County, Illinois",1147
"17031490901","Census Tract 4909.01, Cook County, Illinois",3264
"17031490902","Census Tract 4909.02, Cook County, Illinois",4204
"17031530502","Census Tract 5305.02, Cook County, Illinois",1456
